0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,16,16,25,16,16,16,25,16,16,16,25,16,16,16,25,
16,16,16,25,16,16,16,25,16,16,16,25,16,16,16,25,
22,18,20,25,18,20,22,25,20,22,18,25,22,18,20,25,
23,19,21,25,19,21,23,25,21,23,19,25,23,19,21,25,
16,16,16,25,16,16,16,25,16,16,16,25,16,16,16,25,
16,16,16,25,16,16,16,25,16,16,16,25,16,16,16,25,
16,16,16,25,16,16,16,25,16,16,16,25,16,16,16,25,
16,16,16,25,16,16,16,25,16,16,16,25,16,16,16,25,
16,16,16,25,16,16,16,25,16,16,16,25,16,16,16,25,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,
